User Id,Reviewer Name,User Avatar,User Email,Is Anonymous,Rating,Review Title,Review Content,Review Images,Review Video Cover Url,Review Video Id,Helpful,Replies,Like Count,Like Text,Up Votes,Down Votes,Verified Purchase,Report Times,Product Id,Product Title,Product Image,Product Link,Product Category Id,Product Sku,Product Sku Info,Review Id,Seller Id,Review Date,Scraped At
3369271,Hau P.,http://lzd-live-my-member.oss-ap-southeast-1.aliyuncs.com/6306d40087464ce3be50d1fdf6f6de39_2a764ffc41a34b5896c2084de47035e4.jpg,,No,5,,"Sleek silver color adds elegance, Waterproof feature is great, Clear and easy-to-read display,  ",https://lzd-u.slatic.net/c036dec738cc4ce58983a02f46de5a70_9d0295a60285462c8f4d4e731a84efb5.jpg,https://sg-test-11.slatic.net/p/c473965683e72842ee59cc0989fc27f3.jpg,30314832415,Yes,,1,,1,0,Yes,0,4081278396,[Ready Stock] Jam Tangan Wanita  ginal BABY G Women Sport Digital Classic Round Watch Shockproof and Waterproof Stainless Steel Band Sports Business Wrist Watches LQ-400D-7AEF,https://sg-test-11.slatic.net/p/db95eafbc53f60b1791a7ddc6288d76a.jpg,https://www.lazada.com.my/products/ready-stock-jam-tangan-wanita-ginal-baby-g-women-sport-digital-classic-round-watch-shockproof-and-waterproof-stainless-steel-band-sports-business-wrist-watches-lq-400d-7aef-i4081278396-s23117591618.html,8698,23117591618,Watch Strap Color:LQ-400D-7AEF,4081278396,19092,18-Jan-25,2025-03-17T07:29:27.429Z
3.00E+11,t***a,,,Yes,5,,"Reka bentuk bergaya dan sporty, Tahan kejutan untuk gaya hidup aktif, smua ok.thanks kurir lazada 👍,thanks seller  ",https://lzd-u.slatic.net/8c691a47ea8c4a8eaff501eb427e71b1_1947bb2debf84fa1be953aee0263f425.jpg,,,Yes,,2,,2,0,Yes,0,4081278396,[Sedia sedia] Jam Tangan Wanita Casio watch Wanita kasual Watch LQ-400D-7AEF,https://my-live.slatic.net/p/362e4b2628c21d502a05112954617d15.jpg,https://www.lazada.com.my/products/ready-stock-jam-tangan-wanita-casio-watch-women-casual-watch-lq-400d-7aef-i4081278396-s23117591618.html,8698,23117591618,Warna Tali Jam:LQ-400D-7AEF,4081278396,19092,2 weeks ago,2025-03-17T07:29:27.429Z
3551612,Noraisahishak,https://graph.facebook.com/2030743756993549/picture,,No,5,,"Micro light for low-light conditions, Accurate timekeeping, Shockproof for active lifestyles, Stylish and sporty design,  ","https://lzd-u.slatic.net/b976c26ca2c14f089f1694b322a93922_2147afc44b484567aeab7af4a5fee8f0.jpg
https://lzd-u.slatic.net/b976c26ca2c14f089f1694b322a93922_32713c313ce04959bc3b3c9be8dff143.jpg",,,Yes,,1,,1,0,Yes,0,4081278396,[Ready Stock] Jam Tangan Wanita  ginal BABY G Women Sport Digital Classic Round Watch Shockproof and Waterproof Stainless Steel Band Sports Business Wrist Watches LQ-400D-7AEF,https://my-live.slatic.net/p/362e4b2628c21d502a05112954617d15.jpg,https://www.lazada.com.my/products/ready-stock-jam-tangan-wanita-casio-watch-women-casual-watch-lq-400d-7aef-i4081278396-s23117591618.html,8698,23117591618,Watch Strap Color:LQ-400D-7AEF,4081278396,19092,3 weeks ago,2025-03-17T07:29:27.429Z
3.00E+11,Lim B.,,,No,5,,"Clear and easy-to-read display, Great value for money, Durable stainless steel band, Accurate timekeeping,  ",,https://sg-test-11.slatic.net/p/c032b792e22d012b08cabf074b3f2b3f.jpg,30319212837,Yes,,1,,1,0,Yes,0,4081278396,[Ready Stock] Jam Tangan Wanita  ginal BABY G Women Sport Digital Classic Round Watch Shockproof and Waterproof Stainless Steel Band Sports Business Wrist Watches LQ-400D-7AEF,https://my-live.slatic.net/p/362e4b2628c21d502a05112954617d15.jpg,https://www.lazada.com.my/products/ready-stock-jam-tangan-wanita-casio-watch-women-casual-watch-lq-400d-7aef-i4081278396-s23117591618.html,8698,23117591618,Watch Strap Color:LQ-400D-7AEF,4081278396,19092,3 weeks ago,2025-03-17T07:29:27.429Z
3.00E+11,Lily W.,https://lh4.googleusercontent.com/-8hXGkH3bekc/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJMtpOWRUXwajoQ6TeXqcjKTLQPd5A/s96-c/photo.jpg,,No,4,,Nice watch. Worth waiting for. Easily adjustable. Clear and easy-to-read display. Thanks seller ☺️ ,"https://lzd-u.slatic.net/a375ce1bd4924343ac0a8d3077fc2d7f_22456c3269b947a2a858c2124821af0a.jpg
https://lzd-u.slatic.net/a375ce1bd4924343ac0a8d3077fc2d7f_cf0bab0c416f420ab0c214e6574f5b94.jpg
https://lzd-u.slatic.net/a375ce1bd4924343ac0a8d3077fc2d7f_43f0a03bd42041c997793d62d1adf87f.jpg",,,Yes,,1,,1,0,Yes,0,4081278396,[Ready Stock] Jam Tangan Wanita  ginal BABY G Women Sport Digital Classic Round Watch Shockproof and Waterproof Stainless Steel Band Sports Business Wrist Watches LQ-400D-7AEF,https://sg-test-11.slatic.net/p/db95eafbc53f60b1791a7ddc6288d76a.jpg,https://www.lazada.com.my/products/ready-stock-jam-tangan-wanita-ginal-baby-g-women-sport-digital-classic-round-watch-shockproof-and-waterproof-stainless-steel-band-sports-business-wrist-watches-lq-400d-7aef-i4081278396-s23117591618.html,8698,23117591618,Watch Strap Color:LQ-400D-7AEF,4081278396,19092,10-Feb-25,2025-03-17T07:29:27.429Z
2762123,LC W.,https://graph.facebook.com/1914957905408464/picture,,No,5,,"Waterproof feature is great, Sleek silver color adds elegance, Clear and easy-to-read display, Durable stainless steel band, Shockproof for active lifestyles, Convenient daily alarm function,  ",https://lzd-u.slatic.net/aa1562f74eb14a2989f22ddd991b6dc1_86c809e5e675429684f074eef7cd5703.jpg,,,Yes,,1,,1,0,Yes,0,4081278396,[Ready Stock] Jam Tangan Wanita  ginal BABY G Women Sport Digital Classic Round Watch Shockproof and Waterproof Stainless Steel Band Sports Business Wrist Watches LQ-400D-7AEF,https://sg-test-11.slatic.net/p/db95eafbc53f60b1791a7ddc6288d76a.jpg,https://www.lazada.com.my/products/ready-stock-jam-tangan-wanita-ginal-baby-g-women-sport-digital-classic-round-watch-shockproof-and-waterproof-stainless-steel-band-sports-business-wrist-watches-lq-400d-7aef-i4081278396-s23117591618.html,8698,23117591618,Watch Strap Color:LQ-400D-7AEF,4081278396,19092,20-Jan-25,2025-03-17T07:29:34.083Z
8312965,Kefly M.,https://graph.facebook.com/1605445029511587/picture,,No,5,,"Sleek silver color adds elegance, Durable stainless steel band, Clear and easy-to-read display,  ",https://lzd-u.slatic.net/841ded739b4c497f9520e4fa06ab3f5b_5b7b0b5933dd4d7cb8cfc5f324349612.jpg,,,Yes,,2,,2,0,Yes,0,4081278396,[Ready Stock] Jam Tangan Wanita  ginal BABY G Women Sport Digital Classic Round Watch Shockproof and Waterproof Stainless Steel Band Sports Business Wrist Watches LQ-400D-7AEF,https://sg-test-11.slatic.net/p/db95eafbc53f60b1791a7ddc6288d76a.jpg,https://www.lazada.com.my/products/ready-stock-jam-tangan-wanita-ginal-baby-g-women-sport-digital-classic-round-watch-shockproof-and-waterproof-stainless-steel-band-sports-business-wrist-watches-lq-400d-7aef-i4081278396-s23117591618.html,8698,23117591618,Watch Strap Color:LQ-400D-7AEF,4081278396,19092,26-Jan-25,2025-03-17T07:29:34.083Z
3.00E+11,intanf F.,https://lh6.googleusercontent.com/-cCSINrBv45E/AAAAAAAAAAI/AAAAAAAAAAA/ABtNlbBMzRmjHxJe8T2MK_azywXfZweYWg/s96-c/photo.jpg,,No,5,,"Durable stainless steel band, Stylish and sporty design, Waterproof feature is great,  ",https://lzd-u.slatic.net/810c12f12d8a474ea93f036eec12e014_d51cf5f8eaad4d5fb8b161f7f20f246a.jpg,,,Yes,,2,,2,0,Yes,0,4081278396,[Ready Stock] Jam Tangan Wanita  ginal BABY G Women Sport Digital Classic Round Watch Shockproof and Waterproof Stainless Steel Band Sports Business Wrist Watches LQ-400D-7AEF,https://sg-test-11.slatic.net/p/db95eafbc53f60b1791a7ddc6288d76a.jpg,https://www.lazada.com.my/products/ready-stock-jam-tangan-wanita-ginal-baby-g-women-sport-digital-classic-round-watch-shockproof-and-waterproof-stainless-steel-band-sports-business-wrist-watches-lq-400d-7aef-i4081278396-s23117591618.html,8698,23117591618,Watch Strap Color:LQ-400D-7AEF,4081278396,19092,23-Jan-25,2025-03-17T07:29:34.083Z
3247223,M***e,,,Yes,5,,"Sleek silver color adds elegance, Stylish and sporty design,  ",https://lzd-u.slatic.net/d537a668a9a1438e8e9774f12c4c6234_4a13c24d435242808b8572d6610760a4.jpg,,,Yes,,1,,1,0,Yes,0,4081278396,[Ready Stock] Jam Tangan Wanita  ginal BABY G Women Sport Digital Classic Round Watch Shockproof and Waterproof Stainless Steel Band Sports Business Wrist Watches LQ-400D-7AEF,https://sg-test-11.slatic.net/p/db95eafbc53f60b1791a7ddc6288d76a.jpg,https://www.lazada.com.my/products/ready-stock-jam-tangan-wanita-ginal-baby-g-women-sport-digital-classic-round-watch-shockproof-and-waterproof-stainless-steel-band-sports-business-wrist-watches-lq-400d-7aef-i4081278396-s23117591618.html,8698,23117591618,Watch Strap Color:LQ-400D-7AEF,4081278396,19092,19-Jan-25,2025-03-17T07:29:34.083Z
3.00E+11,l***.,,,Yes,5,,"Shockproof for active lifestyles, Accurate timekeeping, Durable stainless steel band, Waterproof feature is great, Stylish and sporty design, Micro light for low-light conditions, 不好用 ",https://lzd-u.slatic.net/b97aaf86ed0c4605bf572ce38ebcffd2_4a608643bd8e410a8e34e6302d954127.jpg,https://sg-test-11.slatic.net/p/04a557a182e3fc032c35b754a6c0c794.jpg,30305850496,Yes,,0,,0,0,Yes,0,4081278396,[Ready Stock] Jam Tangan Wanita  ginal BABY G Women Sport Digital Classic Round Watch Shockproof and Waterproof Stainless Steel Band Sports Business Wrist Watches LQ-400D-7AEF,https://sg-test-11.slatic.net/p/db95eafbc53f60b1791a7ddc6288d76a.jpg,https://www.lazada.com.my/products/ready-stock-jam-tangan-wanita-ginal-baby-g-women-sport-digital-classic-round-watch-shockproof-and-waterproof-stainless-steel-band-sports-business-wrist-watches-lq-400d-7aef-i4081278396-s23117591618.html,8698,23117591618,Watch Strap Color:LQ-400D-7AEF,4081278396,19092,19-Nov-24,2025-03-17T07:29:34.083Z
3.00E+11,*******205,,,No,5,,"Sleek silver color adds elegance, Stylish and sporty design, Waterproof feature is great,  ",https://lzd-u.slatic.net/f8e22922be124733a1a10f2c4a388293_4241af2bcd8c477f91a78f4b941c75cc.jpg,,,Yes,,1,,1,0,Yes,0,4081278396,[Ready Stock] Jam Tangan Wanita  ginal BABY G Women Sport Digital Classic Round Watch Shockproof and Waterproof Stainless Steel Band Sports Business Wrist Watches LQ-400D-7AEF,https://sg-test-11.slatic.net/p/db95eafbc53f60b1791a7ddc6288d76a.jpg,https://www.lazada.com.my/products/ready-stock-jam-tangan-wanita-ginal-baby-g-women-sport-digital-classic-round-watch-shockproof-and-waterproof-stainless-steel-band-sports-business-wrist-watches-lq-400d-7aef-i4081278396-s23117591618.html,8698,23117591618,Watch Strap Color:LQ-400D-7AEF,4081278396,19092,26-Nov-24,2025-03-17T07:29:41.087Z
3.00E+11,0***7,,,No,5,,"Durable stainless steel band, Clear and easy-to-read display,  ","https://lzd-u.slatic.net/f288cd013caf46be9392f9c2d3dda0d2_4cc6ac211a264c07a058dd5fbf053dba.jpg
https://lzd-u.slatic.net/b79c1681d435401ebe4db799caa2def4_0373c8b5b53d4828a5661a8a4704af00.jpg",,,Yes,,1,,1,0,Yes,0,4081278396,[Ready Stock] Jam Tangan Wanita  ginal BABY G Women Sport Digital Classic Round Watch Shockproof and Waterproof Stainless Steel Band Sports Business Wrist Watches LQ-400D-7AEF,https://sg-test-11.slatic.net/p/db95eafbc53f60b1791a7ddc6288d76a.jpg,https://www.lazada.com.my/products/ready-stock-jam-tangan-wanita-ginal-baby-g-women-sport-digital-classic-round-watch-shockproof-and-waterproof-stainless-steel-band-sports-business-wrist-watches-lq-400d-7aef-i4081278396-s23117591618.html,8698,23117591618,Watch Strap Color:LQ-400D-7AEF,4081278396,19092,2-Jan-25,2025-03-17T07:29:41.087Z
3.00E+11,Gemma S.,https://my-live-02.slatic.net/p/d0db450f241b1bf76de054a1226ff54a.jpg,,No,5,,cute and nice love it ,https://lzd-u.slatic.net/bdf6101c19e143d1b6427d34191699ea_57ea7a8b96aa4f3491b357aea892fe4a.jpg,,,Yes,,2,,2,0,Yes,0,4081278396,[Ready Stock] Jam Tangan Wanita  ginal BABY G Women Sport Digital Classic Round Watch Shockproof and Waterproof Stainless Steel Band Sports Business Wrist Watches LQ-400D-7AEF,https://sg-test-11.slatic.net/p/db95eafbc53f60b1791a7ddc6288d76a.jpg,https://www.lazada.com.my/products/ready-stock-jam-tangan-wanita-ginal-baby-g-women-sport-digital-classic-round-watch-shockproof-and-waterproof-stainless-steel-band-sports-business-wrist-watches-lq-400d-7aef-i4081278396-s23117591618.html,8698,23117591618,Watch Strap Color:LQ-400D-7AEF,4081278396,19092,13-Feb-25,2025-03-17T07:29:41.087Z
3.00E+11,0***7,,,No,5,,"Sleek silver color adds elegance, Great value for money, Accurate timekeeping,  ",https://lzd-u.slatic.net/ee357c41f34a4bf68d253ab384469dde_a71a256a858242d3bd76a6c82800a7a0.jpg,,,Yes,,1,,1,0,Yes,0,4081278396,[Ready Stock] Jam Tangan Wanita  ginal BABY G Women Sport Digital Classic Round Watch Shockproof and Waterproof Stainless Steel Band Sports Business Wrist Watches LQ-400D-7AEF,https://sg-test-11.slatic.net/p/db95eafbc53f60b1791a7ddc6288d76a.jpg,https://www.lazada.com.my/products/ready-stock-jam-tangan-wanita-ginal-baby-g-women-sport-digital-classic-round-watch-shockproof-and-waterproof-stainless-steel-band-sports-business-wrist-watches-lq-400d-7aef-i4081278396-s23117591618.html,8698,23117591618,Watch Strap Color:LQ-400D-7AEF,4081278396,19092,20-Nov-24,2025-03-17T07:29:41.087Z
3.01E+11,W***l,,,Yes,5,,This watch quite small for those who have big wirst. Recommended for woman. Receive in Good quality. Dont expect to much for RM50 watch yee but this watch look expensive to be honest. Come with casio box❤️.  Can buy for your partner birthday gifts. Dont worry you can adjust watch strap easily with with watch ,"https://lzd-u.slatic.net/8f0c93cf34424a59ad67dfcc763a80fe_4_1742123509.025358.jpg
https://lzd-u.slatic.net/8f0c93cf34424a59ad67dfcc763a80fe_5_1742123567.080743.jpg",,,Yes,,0,,0,0,Yes,0,4081278396,[Ready Stock] Jam Tangan Wanita Casio watch Women Casual Watch LQ-400D-7AEF,https://my-live.slatic.net/p/362e4b2628c21d502a05112954617d15.jpg,https://www.lazada.com.my/products/ready-stock-jam-tangan-wanita-casio-watch-women-casual-watch-lq-400d-7aef-i4081278396-s23117591618.html,8698,23117591618,Watch Strap Color:LQ-400D-7AEF,4081278396,19092,20 hours ago,2025-03-17T07:29:41.087Z
3.00E+11,K***.,,,Yes,5,,"Fungsi penggera harian yang mudah, Tali keluli tahan karat yang tahan lama, Paparan yang jelas dan mudah dibaca, 👍👍👍 ","https://lzd-u.slatic.net/6ff372049d824311bdc8b62dd71fd6b4_9204d0dd1bb5427ab528cef17f2e67ec.jpg
https://lzd-u.slatic.net/6ff372049d824311bdc8b62dd71fd6b4_f5de35399c8b4f7d832760bb96b5ba7b.jpg
https://lzd-u.slatic.net/6ff372049d824311bdc8b62dd71fd6b4_43baae0b03f9468c956e13de7fba8fe2.jpg
https://lzd-u.slatic.net/6ff372049d824311bdc8b62dd71fd6b4_bb0667ef590840bb83be8a95e55b85b4.jpg
https://lzd-u.slatic.net/6ff372049d824311bdc8b62dd71fd6b4_b9fab4a93de1407e9292a0ff9ffe7aac.jpg",,,Yes,,0,,0,0,Yes,0,4081278396,[Sedia sedia] Jam Tangan Wanita Casio watch Wanita kasual Watch LQ-400D-7AEF,https://my-live.slatic.net/p/362e4b2628c21d502a05112954617d15.jpg,https://www.lazada.com.my/products/ready-stock-jam-tangan-wanita-casio-watch-women-casual-watch-lq-400d-7aef-i4081278396-s23117591618.html,8698,23117591618,Warna Tali Jam:LQ-400D-7AEF,4081278396,19092,23 minutes ago,2025-03-17T07:29:49.447Z
9574228,Hairy B.,,,No,5,,"Waterproof feature is great, Micro light for low-light conditions,  ",https://lzd-u.slatic.net/0f1dbcd68de14d3faab83a61fe884edc_1057834392f345608716c0ff8183a487.jpg,,,Yes,,0,,0,0,Yes,0,4081278396,[Ready Stock] Jam Tangan Wanita Casio watch Women Casual Watch LQ-400D-7AEF,https://my-live.slatic.net/p/362e4b2628c21d502a05112954617d15.jpg,https://www.lazada.com.my/products/ready-stock-jam-tangan-wanita-casio-watch-women-casual-watch-lq-400d-7aef-i4081278396-s23117591618.html,8698,23117591618,Watch Strap Color:LQ-400D-7AEF,4081278396,19092,2 weeks ago,2025-03-17T07:29:49.447Z
3.00E+11,1***3,,,No,5,,I bought it as a gift for my colleague. I personally love the simple but elegant design and the size is just perfect. I hope she loves it too. ,,,,Yes,,1,,1,0,Yes,0,4081278396,[Ready Stock] Jam Tangan Wanita  ginal BABY G Women Sport Digital Classic Round Watch Shockproof and Waterproof Stainless Steel Band Sports Business Wrist Watches LQ-400D-7AEF,https://sg-test-11.slatic.net/p/db95eafbc53f60b1791a7ddc6288d76a.jpg,https://www.lazada.com.my/products/ready-stock-jam-tangan-wanita-ginal-baby-g-women-sport-digital-classic-round-watch-shockproof-and-waterproof-stainless-steel-band-sports-business-wrist-watches-lq-400d-7aef-i4081278396-s23117591618.html,8698,23117591618,Watch Strap Color:LQ-400D-7AEF,4081278396,19092,27-Dec-24,2025-03-17T07:29:49.447Z
3.00E+11,Jie S.,https://graph.facebook.com/2609287782422951/picture,,No,5,,"Sleek silver color adds elegance, Waterproof feature is great.. tq free gift nya.. suka sgt.. ","https://lzd-u.slatic.net/8589dba2881147e296ea44d0597f1466_cbbc5c235efc4e2f8c40428efa022f81.jpg
https://lzd-u.slatic.net/8589dba2881147e296ea44d0597f1466_1c0cf79e94974e09891e936dc8d5625d.jpg",,,Yes,,0,,0,0,Yes,0,4081278396,[Ready Stock] Jam Tangan Wanita  ginal BABY G Women Sport Digital Classic Round Watch Shockproof and Waterproof Stainless Steel Band Sports Business Wrist Watches LQ-400D-7AEF,https://sg-test-11.slatic.net/p/db95eafbc53f60b1791a7ddc6288d76a.jpg,https://www.lazada.com.my/products/ready-stock-jam-tangan-wanita-ginal-baby-g-women-sport-digital-classic-round-watch-shockproof-and-waterproof-stainless-steel-band-sports-business-wrist-watches-lq-400d-7aef-i4081278396-s23117591618.html,8698,23117591618,Watch Strap Color:LQ-400D-7AEF,4081278396,19092,3-Jan-25,2025-03-17T07:29:49.447Z
3.00E+11,Claudia L.,https://lh3.googleusercontent.com/a-/AOh14GjRNOW54o0k0_J90T-6O2gk5tfACEzZgr7Y1Qu1tg=s96-c,,No,5,,"Clear and easy-to-read display, Great value for money, Sleek silver color adds elegance, Durable stainless steel band, Waterproof feature is great, Micro light for low-light conditions ",https://lzd-u.slatic.net/0189c01df1374dfc98fb8e0fd70fd7cb_43224e54f3c743db9fd916f3388e9309.jpg,,,Yes,,0,,0,0,Yes,0,4081278396,[Ready Stock] Jam Tangan Wanita  ginal BABY G Women Sport Digital Classic Round Watch Shockproof and Waterproof Stainless Steel Band Sports Business Wrist Watches LQ-400D-7AEF,https://sg-test-11.slatic.net/p/db95eafbc53f60b1791a7ddc6288d76a.jpg,https://www.lazada.com.my/products/ready-stock-jam-tangan-wanita-ginal-baby-g-women-sport-digital-classic-round-watch-shockproof-and-waterproof-stainless-steel-band-sports-business-wrist-watches-lq-400d-7aef-i4081278396-s23117591618.html,8698,23117591618,Watch Strap Color:LQ-400D-7AEF,4081278396,19092,13-Dec-24,2025-03-17T07:29:49.447Z
